year,frequency
1847,2
1848,1
1849,1
1850,21
1851,27
1852,23
1853,13
1854,16
1855,17
1856,9
1857,3
1858,8
1859,7
1860,8
1861,1
1862,3
1863,10
1864,4
1865,7
1866,6
1867,18
1868,21
1869,13
1870,13
1871,36
1872,23
1873,28
1874,37
1875,25
1876,29
1877,18
1878,46
1879,25
1880,22
1881,23
1882,36
1883,31
1884,51
1885,20
1886,45
1887,50
1888,49
1889,44
1890,78
1891,55
1892,56
1893,36
1894,33
1895,44
1896,36
1897,31
1898,43
1899,31
1900,36
1901,28
1902,38
